triplet_id,variant_type,input_hinglish,gemma_translation,reference_en
4,topic_fronting,boarding pass print karwana hai flight ka,"boarding pass print karwana hai flight ka
4,emphasis_shift,print karwana hai flight ka boarding pass,print boarding pass for flight,Have to print flight boarding pass
5,base,auto ka meter on karlo please,Turn on the meter for the auto please,auto ka meter on karlo please
5,topic_fronting,meter on karlo please auto ka,Please turn meter on auto.,auto ka meter on karlo please
5,emphasis_shift,on karlo auto ka meter please,please turn on the meter for the car .,auto ka meter on karlo please
6,base,highway pe speed limit follow karo,follow the speed limit on the highway,highway pe speed limit follow karo
6,topic_fronting,speed limit follow karo highway pe,follow the speed limit on the highway,highway pe speed limit follow karo
6,emphasis_shift,follow karo highway pe speed limit,follow the speed limit on the highway,highway pe speed limit follow karo
7,base,luggage ka weight check ho gaya kya,Is the weight of the luggage checked?,Has the weight of the luggage been checked?
7,topic_fronting,weight check ho gaya kya luggage ka,Is the weight check done on the luggage,Has the weight of the luggage been checked?
7,emphasis_shift,check ho gaya kya luggage ka weight,Check if the luggage weight is over 50 pounds,Has the weight of the luggage been checked?
8,base,train platform number change ho gaya,The train platform number has changed.,train platform number changed
8,topic_fronting,platform number change ho gaya train ka,Platform number changed for the train,train platform number changed
8,emphasis_shift,change ho gaya train ka platform number,What is the platform number for the changed train?,train platform number changed
9,base,flight delay ka reason bata sakte ho,Can you tell me the reason for the flight delay?,Can you tell the reason for the flight delay?
9,topic_fronting,reason bata sakte ho flight delay ka,can you tell me the reason for flight delay?,Can you tell the reason for the flight delay?
9,emphasis_shift,bata sakte ho flight delay ka reason,what is the reason for flight delay,Can you tell the reason for the flight delay?
10,base,ticket ka refund online mil jayega kya,Will the ticket be refunded online?,Will I get ticket refund online?
10,topic_fronting,refund online mil jayega kya ticket ka,Will I get a refund online for the ticket?,Will I get ticket refund online?
10,emphasis_shift,mil jayega online refund ticket ka kya,What will be the refund ticket online,Will I get ticket refund online?
11,base,pizza ka order cancel karna padega,The pizza order needs to be cancelled.,Pizza order will have to be canceled
11,topic_fronting,order cancel karna padega pizza ka,cancel the order for pizza,Pizza order will have to be canceled
11,emphasis_shift,cancel karna padega pizza ka order,cancel the order for pizza,Pizza order will have to be canceled
12,base,chai me extra sugar add kar do,Add extra sugar to the tea,add extra sugar to tea
12,topic_fronting,extra sugar add kar do chai me,Add extra sugar to the chai,add extra sugar to tea
12,emphasis_shift,add kar do chai me extra sugar,add sugar to chai me extra,add extra sugar to tea
13,base,pasta thoda spicy bana dena,Make pasta a little spicy,make pasta a little spicy
13,topic_fronting,thoda spicy bana dena pasta,make a little spicy pasta,make pasta a little spicy
13,emphasis_shift,spicy bana dena pasta thoda,Make pasta spicy,make pasta a little spicy
14,base,juice ka bill pay kar diya kya,Did you pay the bill for the juice?,Have you paid the juice bill?
14,topic_fronting,bill pay kar diya kya juice ka,Did bill pay for the juice?,Have you paid the juice bill?
14,emphasis_shift,pay kar diya juice ka bill kya,What is the bill for juice paid?,Have you paid the juice bill?
15,base,biryani me raita include hota hai kya,Is there a raita in the biryani?,Is raita included in biryani?
15,topic_fronting,raita include hota hai kya biryani me,Is biryani included?,Is raita included in biryani?
15,emphasis_shift,include hota hai biryani me raita kya,biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani biryani,Is raita included in biryani?
16,base,cold coffee thodi kam sweet chahiye,Cold coffee should be a little sweet,Cold coffee should be a little less sweet
16,topic_fronting,kam sweet chahiye cold coffee thodi,Need a little sweet cold coffee,Cold coffee should be a little less sweet
16,emphasis_shift,chahiye cold coffee thodi kam sweet,need a little less sweet cold coffee,Cold coffee should be a little less sweet
17,base,burger ke andar cheese extra daalna,Extra cheese in the burger,putting extra cheese inside the burger
17,topic_fronting,cheese extra daalna burger ke andar,Extra cheese in the burger,putting extra cheese inside the burger
17,emphasis_shift,daalna cheese extra burger ke andar,add cheese extra burger,putting extra cheese inside the burger
18,base,pani ka bottle cold hai kya,Is the water bottle cold?,Is the water bottle cold?
18,topic_fronting,bottle cold hai kya pani ka,Is the bottle cold water,Is the water bottle cold?
18,emphasis_shift,cold hai pani ka bottle kya,What is the cold water bottle?,Is the water bottle cold?
19,base,dosa ka chutney thoda aur milega,more chutney please,You will get a little more chutney for dosa.
19,topic_fronting,chutney thoda aur milega dosa ka,more chutney will be added to the dosa,You will get a little more chutney for dosa.
19,emphasis_shift,milega dosa ka chutney thoda aur,It will be a little more of the chutney.,You will get a little more chutney for dosa.
20,base,coffee ka order ready ho gaya,The order for coffee is ready,Coffee order is ready
20,topic_fronting,order ready ho gaya coffee ka,Order ready for coffee,Coffee order is ready
20,emphasis_shift,ready ho gaya coffee ka order,ready for coffee order,Coffee order is ready
21,base,shirt ka size medium available hai,shirt is available in size medium,shirt ka size medium available hai
21,topic_fronting,size medium available hai shirt ka,size medium available shirt,shirt ka size medium available hai
21,emphasis_shift,available hai shirt ka size medium,available medium size shirt,shirt ka size medium available hai
22,base,jeans ka rate thoda kam karo,lower the rate of jeans,reduce the price of jeans a little
22,topic_fronting,rate thoda kam karo jeans ka,rate a little low on the jeans,reduce the price of jeans a little
22,emphasis_shift,kam karo jeans ka rate thoda,Rate the jeans a little,reduce the price of jeans a little
23,base,shoes ka color black chahiye,The shoes should be black.,The color of shoes should be black
23,topic_fronting,color black chahiye shoes ka,Black shoes required,The color of shoes should be black
23,emphasis_shift,chahiye shoes ka color black,want shoes color black,The color of shoes should be black
24,base,bag me laptop fit ho jayega kya,Will the bag fit the laptop?,Will the laptop fit in the bag?
24,topic_fronting,laptop fit ho jayega kya bag me,Will the laptop fit in the bag?,Will the laptop fit in the bag?
24,emphasis_shift,fit ho jayega bag me laptop kya,Will the laptop fit in the bag?,Will the laptop fit in the bag?
25,base,discount coupon apply kar diya kya,Did you apply the discount coupon?,Have you applied the discount coupon?
25,topic_fronting,coupon apply kar diya kya discount,Did you apply the coupon for the discount?,Have you applied the discount coupon?
25,emphasis_shift,apply kar diya discount coupon kya,What did you apply the discount coupon to?,Have you applied the discount coupon?
26,base,product ki quality check karni hai,Quality check the product,Have to check the quality of the product
26,topic_fronting,quality check karni hai product ki,Quality check the product,Have to check the quality of the product
26,emphasis_shift,check karni hai product ki quality,check the quality of the product,Have to check the quality of the product
27,base,delivery ka status update aaya kya,Is the status update on delivery?,Has the delivery status been updated?
27,topic_fronting,status update aaya kya delivery ka,Is there a status update on the delivery?,Has the delivery status been updated?
27,emphasis_shift,aaya kya delivery ka status update,what is the status update of delivery,Has the delivery status been updated?
28,base,bill me GST include hai kya,Is GST included in bill bill?,Is patrol included in the bill?
28,topic_fronting,GST include hai kya bill me,Is GST included in the bill?,Is patrol included in the bill?
28,emphasis_shift,include hai bill me GST kya,What is GST included in Bill?,Is patrol included in the bill?
29,base,packing thodi strong kar dena,packing should be a little stronger,make the packing a little stronger
29,topic_fronting,strong kar dena packing thodi,Packing is strong,make the packing a little stronger
29,emphasis_shift,kar dena packing thodi strong,packing is a little strong,make the packing a little stronger
30,base,price list display nahi hui,Price list not displayed,price list display nahi hui
30,topic_fronting,display nahi hui price list,display not price list,price list display nahi hui
30,emphasis_shift,nahi hui price list display,display price list,price list display nahi hui
31,base,meeting ka link send kar do,Send the link for the meeting,send the meeting link
31,topic_fronting,link send kar do meeting ka,Send the link to the meeting.,send the meeting link
31,emphasis_shift,send kar do meeting ka link,Send link to meeting,send the meeting link
32,base,party ka plan final hua kya,Is the party plan final?,Is the party plan finalized?
32,topic_fronting,plan final hua kya party ka,What is the final plan for the party?,Is the party plan finalized?
32,emphasis_shift,final hua party ka plan kya,What is the final plan for the party?,Is the party plan finalized?
33,base,message ka reply kyun nahi diya,Why is there no reply to the message?,Why did you not reply to the message?
33,topic_fronting,reply kyun nahi diya message ka,Why not reply to the message,Why did you not reply to the message?
33,emphasis_shift,kyun nahi diya message ka reply,why not reply to the message,Why did you not reply to the message?
34,base,call ka network issue ho raha,Call network issue,There is a call network issue
34,topic_fronting,network issue ho raha call ka,network issue call,There is a call network issue
34,emphasis_shift,ho raha call ka network issue,the call network issue,There is a call network issue
35,base,photo ka background change kar dena,Change the background of the photo,background change.
35,topic_fronting,background change kar dena photo ka,Background change to photo,background change.
35,emphasis_shift,change kar dena photo ka background,change the background of the photo,background change.
36,base,plan ka update batao jaldi,Update the plan soon.,Please update your plan soon
36,topic_fronting,update batao jaldi plan ka,Update me soon on the plan.,Please update your plan soon
36,emphasis_shift,batao plan ka update jaldi,update plan soon,Please update your plan soon
37,base,time ka reminder lagana padega,Reminder to set time,You will have to set a time reminder
37,topic_fronting,reminder lagana padega time ka,reminder to set time,You will have to set a time reminder
37,emphasis_shift,lagana padega time ka reminder,reminder of time to be given,You will have to set a time reminder
38,base,friends ka group active nahi hai,The friends group is not active,Friends group is not active
38,topic_fronting,group active nahi hai friends ka,Group is not active friends,Friends group is not active
38,emphasis_shift,active nahi hai friends ka group,not active friends group,Friends group is not active
39,base,birthday ka gift decide nahi hua,The birthday gift is not decided yet,Birthday gift deed not done
39,topic_fronting,gift decide nahi hua birthday ka,The gift was not decided on the birthday,Birthday gift deed not done
39,emphasis_shift,decide nahi hua birthday ka gift,not decided birthday gift,Birthday gift deed not done
40,base,plan me thoda change karna hoga,Little change in plan,The plan will have to be changed a bit
40,topic_fronting,change karna hoga plan me thoda,Change the plan a little,The plan will have to be changed a bit
40,emphasis_shift,karna hoga plan me thoda change,change a little bit in plan to do it,The plan will have to be changed a bit
41,base,report ka draft send karna hai,Send the draft report,Draft report to be sent
41,topic_fronting,draft send karna hai report ka,Send the draft report,Draft report to be sent
41,emphasis_shift,send karna hai report ka draft,send the draft of the report,Draft report to be sent
42,base,meeting ka agenda update karo,Update the agenda for the meeting,update meeting agenda
42,topic_fronting,agenda update karo meeting ka,update agenda for meeting,update meeting agenda
42,emphasis_shift,update karo meeting ka agenda,update meeting agenda,update meeting agenda
43,base,file ka backup rakh lena,Keep a backup of the file,back up files
43,topic_fronting,backup rakh lena file ka,keep file backup,back up files
43,emphasis_shift,rakh lena file ka backup,keep file backup,back up files
44,base,email ka attachment open nahi ho raha,The email attachment is not open,Email attachments are not opening
44,topic_fronting,attachment open nahi ho raha email ka,attachment is not opening in email,Email attachments are not opening
44,emphasis_shift,open nahi ho raha email ka attachment,not open the email attachment,Email attachments are not opening
45,base,task ka status confirm karna,confirm the status of the task,Confirming task status
45,topic_fronting,status confirm karna task ka,status confirm task,Confirming task status
45,emphasis_shift,confirm karna task ka status,confirm task status,Confirming task status
46,base,project ka timeline tight ho gaya,The project is tight on timeline,Project timeline became tight
46,topic_fronting,timeline tight ho gaya project ka,The timeline is tight for the project,Project timeline became tight
46,emphasis_shift,tight ho gaya project ka timeline,Tightened the timeline of the project,Project timeline became tight
47,base,laptop ka charger missing hai,The charger for the laptop is missing.,Laptop charger is missing
47,topic_fronting,charger missing hai laptop ka,charger missing from laptop,Laptop charger is missing
47,emphasis_shift,missing hai laptop ka charger,missing the charger for the laptop,Laptop charger is missing
48,base,code me error aa raha hai,Code is giving me an error,There is an error in the code
48,topic_fronting,error aa raha hai code me,Error in code,There is an error in the code
48,emphasis_shift,aa raha hai code me error,code has error,There is an error in the code
49,base,work ka deadline kal hai,work deadline is tomorrow,work deadline is tomorrow
49,topic_fronting,deadline kal hai work ka,deadline is tomorrow work,work deadline is tomorrow
49,emphasis_shift,kal hai work ka deadline,What is the deadline for work tomorrow?,work deadline is tomorrow
50,base,meeting ka link wrong tha,The link to the meeting was wrong,meeting ka link wrong tha
50,topic_fronting,link wrong tha meeting ka,link wrong for meeting,meeting ka link wrong tha
50,emphasis_shift,wrong tha meeting ka link,wrong link for meeting,meeting ka link wrong tha
51,base,homework ka topic explain kar do,Explain the topic of homework,Explain the topic of homework
51,topic_fronting,topic explain kar do homework ka,Explain the topic of homework.,Explain the topic of homework
51,emphasis_shift,explain kar do homework ka topic,Explain the topic of homework,Explain the topic of homework
52,base,class ka schedule change ho gaya,The class schedule has changed.,class schedule changed
52,topic_fronting,schedule change ho gaya class ka,schedule change ho gaya class ka,class schedule changed
52,emphasis_shift,change ho gaya class ka schedule,change the class schedule,class schedule changed
53,base,exam ka syllabus confirm karna hai,Confirm syllabus of exam,Exam syllabus to be confirmed
53,topic_fronting,syllabus confirm karna hai exam ka,syllabus confirm please,Exam syllabus to be confirmed
53,emphasis_shift,confirm karna hai exam ka syllabus,confirm the syllabus of the exam,Exam syllabus to be confirmed
54,base,notes ka PDF share kar dena,Share the PDF notes,share pdf of notes
54,topic_fronting,PDF share kar dena notes ka,Share notes as PDF,share pdf of notes
54,emphasis_shift,share kar dena notes ka PDF,share notes as PDF,share pdf of notes
55,base,lecture ka recording upload hua kya,Has the recording of the lecture been uploaded?,Has the lecture recording been uploaded?
55,topic_fronting,recording upload hua kya lecture ka,What was the recording uploaded for?,Has the lecture recording been uploaded?
55,emphasis_shift,upload hua lecture ka recording kya,What is the recording of the lecture uploaded?,Has the lecture recording been uploaded?
56,base,assignment ka deadline extend hoga,The assignment deadline will be extended.,Assignment deadline will be extended
56,topic_fronting,deadline extend hoga assignment ka,Deadline will be extended for the assignment,Assignment deadline will be extended
56,emphasis_shift,extend hoga assignment ka deadline,extend the deadline of the assignment,Assignment deadline will be extended
57,base,project ka topic finalize karte hain,finalize the topic of the project,Let's finalize the topic of the project
57,topic_fronting,topic finalize karte hain project ka,topic finalize the project,Let's finalize the topic of the project
57,emphasis_shift,finalize karte hain project ka topic,Finalize the topic of the project,Let's finalize the topic of the project
58,base,book ka chapter difficult lag raha,The book chapter is difficult,book ka chapter difficult lag raha
58,topic_fronting,chapter difficult lag raha book ka,Chapter difficult to read in the book,book ka chapter difficult lag raha
58,emphasis_shift,lag raha book ka chapter difficult,sounds like the chapter is difficult for the book,book ka chapter difficult lag raha
59,base,attendance ka criteria kya hai,What is the criteria for attendance?,What is the criteria for attendance?
59,topic_fronting,criteria kya hai attendance ka,What are the criteria for attendance?,What is the criteria for attendance?
59,emphasis_shift,kya hai attendance ka criteria,What is the criteria for attendance?,What is the criteria for attendance?
60,base,test ka result kab aayega,When will the test result be available?,When will the test results come?
60,topic_fronting,result kab aayega test ka,when will the result of the test be available,When will the test results come?
60,emphasis_shift,kab aayega test ka result,when will the test result be available,When will the test results come?
61,base,room ka light off kar do,Turn off the light in the room.,room ka light off kar do
61,topic_fronting,light off kar do room ka,Turn off the light in the room.,room ka light off kar do
61,emphasis_shift,off kar do room ka light,Turn off the light in the room.,room ka light off kar do
62,base,kitchen ka slab clean karna hai,clean the slab of kitchen,clean the clean ka karna.
62,topic_fronting,slab clean karna hai kitchen ka,clean the slab in the kitchen,clean the clean ka karna.
62,emphasis_shift,clean karna hai kitchen ka slab,clean the kitchen slab,clean the clean ka karna.
63,base,fan ka speed increase kar do,Increase the speed of the fan,fan ka speed increase kar do
63,topic_fronting,speed increase kar do fan ka,Increase the speed of the fan,fan ka speed increase kar do
63,emphasis_shift,increase kar do fan ka speed,Increase the speed of the fan.,fan ka speed increase kar do
64,base,bottle ka water fill kar do,Fill the bottle with water.,can
64,topic_fronting,water fill kar do bottle ka,Fill the bottle with water,can
64,emphasis_shift,fill kar do bottle ka water,Fill the bottle with water.,can
65,base,AC ka temperature kam kar do,Cool it down a bit.,Clacing its culture
65,topic_fronting,temperature kam kar do AC ka,lower the temperature AC,Clacing its culture
65,emphasis_shift,kam kar do AC ka temperature,Cool down the AC temperature,Clacing its culture
66,base,gate ka lock lagana mat bhoolna,Don't forget to lock the gate.,Don't forget to lock the gate
66,topic_fronting,lock lagana mat bhoolna gate ka,Don't forget to lock the gate.,Don't forget to lock the gate
66,emphasis_shift,lagana mat bhoolna gate ka lock,Don't forget to lock the gate.,Don't forget to lock the gate
67,base,table ka cover change kar dena,Change the cover of the table,change the table cover
67,topic_fronting,cover change kar dena table ka,Cover change table,change the table cover
67,emphasis_shift,change kar dena table ka cover,change the cover of the table,change the table cover
68,base,clothes ka ironing karna hai,Ironing clothes,Irving of clothes is to be done
68,topic_fronting,ironing karna hai clothes ka,ironing clothes,Irving of clothes is to be done
68,emphasis_shift,karna hai clothes ka ironing,Ironing clothes,Irving of clothes is to be done
69,base,fridge ka door properly close karo,Close the door properly on the fridge,fridge ka door properly close karo
69,topic_fronting,door properly close karo fridge ka,Close the door properly on the fridge.,fridge ka door properly close karo
69,emphasis_shift,close karo fridge ka door properly,Close the door properly on the fridge,fridge ka door properly close karo
70,base,milk ka packet fridge me rakhna,keep milk packet in fridge,keep milk packet in fridge
70,topic_fronting,packet fridge me rakhna milk ka,Keep milk in the packet fridge.,keep milk packet in fridge
70,emphasis_shift,rakhna milk ka packet fridge me,keep milk packet in fridge,keep milk packet in fridge
71,base,phone ka storage full ho gaya,phone storage full,phone storage full
71,topic_fronting,storage full ho gaya phone ka,"storage full, phone",phone storage full
71,emphasis_shift,full ho gaya phone ka storage,full storage of the phone,phone storage full
72,base,app ka update install karna hai,Install the app,Need to install an app update
72,topic_fronting,update install karna hai app ka,update install karo app ka,Need to install an app update
72,emphasis_shift,install karna hai app ka update,Install app update,Need to install an app update
73,base,password ka reset option nahi mil raha,No option for password reset,Can't find password reset option
73,topic_fronting,reset option nahi mil raha password ka,reset option not available password,Can't find password reset option
73,emphasis_shift,nahi mil raha password ka reset option,No reset option for password,Can't find password reset option
74,base,WiFi ka signal weak lag raha,WiFi signal is weak,Signal is a sign.
74,topic_fronting,signal weak lag raha WiFi ka,Signal weak looking for WiFi,Signal is a sign.
74,emphasis_shift,lag raha WiFi ka signal weak,seems like weak signal of WiFi,Signal is a sign.
75,base,phone ka hotspot on kar do,turn on phone hotspot,phone the hotspot on your phone
75,topic_fronting,hotspot on kar do phone ka,hotspot on phone,phone the hotspot on your phone
75,emphasis_shift,on kar do phone ka hotspot,turn on phone hotspot,phone the hotspot on your phone
76,base,laptop ka update pending hai,laptop update pending,Laptop update is pending
76,topic_fronting,update pending hai laptop ka,update pending laptop,Laptop update is pending
76,emphasis_shift,pending hai laptop ka update,pending update of laptop,Laptop update is pending
77,base,screen ka brightness kam kar do,dim the screen brightness,screen
77,topic_fronting,brightness kam kar do screen ka,dim the brightness of the screen,screen
77,emphasis_shift,kam kar do screen ka brightness,reduce screen brightness,screen
78,base,mic ka input detect nahi ho raha,mic is not detecting input,Mitch's input not being detected
78,topic_fronting,input detect nahi ho raha mic ka,Input is not detecting mic,Mitch's input not being detected
78,emphasis_shift,detect nahi ho raha mic ka input,not detecting mic input,Mitch's input not being detected
79,base,speaker ka volume low hai,speaker volume low,Speaker is speaker
79,topic_fronting,volume low hai speaker ka,Volume low is the speaker,Speaker is speaker
79,emphasis_shift,low hai speaker ka volume,low is the volume of speaker,Speaker is speaker
80,base,battery ka percentage kam ho raha,battery percentage is low,Battery percentage is decreasing
80,topic_fronting,percentage kam ho raha battery ka,The percentage is low for the battery.,Battery percentage is decreasing
80,emphasis_shift,kam ho raha battery ka percentage,how much is the battery percentage,Battery percentage is decreasing
81,base,medicine ka dose kab lena hai,When should the dose of medicine be taken?,When to take medicine doses
81,topic_fronting,dose kab lena hai medicine ka,When do you take the medicine?,When to take medicine doses
81,emphasis_shift,kab lena hai medicine ka dose,when to take medicine dose,When to take medicine doses
82,base,doctor ka appointment confirm hua,doctor confirm appointment,doctor ka appointment confirm hua
82,topic_fronting,appointment confirm hua doctor ka,Appointment confirmed doctor,doctor ka appointment confirm hua
82,emphasis_shift,confirm hua doctor ka appointment,confirmed doctor appointment,doctor ka appointment confirm hua
83,base,fever ka temperature check karo,Check the temperature for fever,"You have a fever, check your temperature"
83,topic_fronting,temperature check karo fever ka,temperature check for fever,"You have a fever, check your temperature"
83,emphasis_shift,check karo fever ka temperature,check the temperature of fever,"You have a fever, check your temperature"
84,base,syrup ka spoon measure karna,Measure the spoon of syrup.,spoon masher syrup
84,topic_fronting,spoon measure karna syrup ka,Measure the spoon of syrup.,spoon masher syrup
84,emphasis_shift,measure karna syrup ka spoon,measuring spoon of syrup,spoon masher syrup
85,base,prescription ka photo send kar do,Send the photo of prescription,send photo of prescription
85,topic_fronting,photo send kar do prescription ka,Send the photo with the prescription,send photo of prescription
85,emphasis_shift,send kar do prescription ka photo,send photo of prescription,send photo of prescription
86,base,pain ka reason samajh nahi aa raha,I can't figure out the reason for the pain,I don't understand the reason for the question.
86,topic_fronting,reason samajh nahi aa raha pain ka,Reason not understood pain,I don't understand the reason for the question.
86,emphasis_shift,samajh nahi aa raha pain ka reason,I don't understand the reason for pain,I don't understand the reason for the question.
87,base,BP ka reading high aa gaya,BP reading is high,blood pressure reading is high
87,topic_fronting,reading high aa gaya BP ka,Reading BP high,blood pressure reading is high
87,emphasis_shift,high aa gaya BP ka reading,high reading BP,blood pressure reading is high
88,base,tablet ka effect slow hai,The effect of the tablet is slow,tablet ka effect slow hai
88,topic_fronting,effect slow hai tablet ka,The effect is slow with the tablet,tablet ka effect slow hai
88,emphasis_shift,slow hai tablet ka effect,slow down the effect of the tablet,tablet ka effect slow hai
89,base,sugar ka test fasting me hota hai,The test for sugar is done fasting,Sugar is tested while fasting
89,topic_fronting,test fasting me hota hai sugar ka,It's fasting for the test of sugar.,Sugar is tested while fasting
89,emphasis_shift,fasting me hota hai sugar ka test,What happens in fasting is a sugar test.,Sugar is tested while fasting
90,base,doctor ka clinic kis time open hota,When does the doctor's clinic open?,What time is the doctor's clinic open?
90,topic_fronting,clinic kis time open hota doctor ka,What time does the clinic open doctor?,What time is the doctor's clinic open?
90,emphasis_shift,kis time open hota doctor ka clinic,what time does the doctor clinic open,What time is the doctor's clinic open?
91,base,bus stop ka route map dikhana,Show the route map of bus stop.,show bus stop route map
91,topic_fronting,route map dikhana bus stop ka,show route map at bus stop,show bus stop route map
91,emphasis_shift,dikhana bus stop ka route map,route map of bus stop,show bus stop route map
92,base,cab ka OTP enter kar do,Enter the OTP for the cab.,enter cab number
92,topic_fronting,OTP enter kar do cab ka,Enter the OTP for cab,enter cab number
92,emphasis_shift,enter kar do cab ka OTP,enter cab OTP,enter cab number
93,base,road ka traffic heavy lag raha,road traffic heavy,road ka traffic heavy lag raha
93,topic_fronting,traffic heavy lag raha road ka,traffic heavy road ka,road ka traffic heavy lag raha
93,emphasis_shift,lag raha road ka traffic heavy,Looks like heavy road traffic.,road ka traffic heavy lag raha
94,base,signal ka light green ho gaya,the signal light turned green,signal light turns green
94,topic_fronting,light green ho gaya signal ka,light green signal changed,signal light turns green
94,emphasis_shift,ho gaya signal ka light green,green light for the signal to go through,signal light turns green
95,base,metro ka gate kis side hoga,Where is the gate of the metro,Which side will the metro gate be on?
95,topic_fronting,gate kis side hoga metro ka,Which side is the gate on the metro?,Which side will the metro gate be on?
95,emphasis_shift,kis side hoga metro ka gate,which side is the metro gate on,Which side will the metro gate be on?
96,base,cab ka driver close aa raha,The cab driver is closing in.,cab driver coming close
96,topic_fronting,driver close aa raha cab ka,driver close to the cab,cab driver coming close
96,emphasis_shift,aa raha cab ka driver close,close the driver of the cab,cab driver coming close
97,base,parking ka ticket lose mat karna,Don't lose the parking ticket.,Don't lose your parking ticket.
97,topic_fronting,ticket lose mat karna parking ka,Don't lose the ticket for parking,Don't lose your parking ticket.
97,emphasis_shift,lose mat karna parking ka ticket,don't lose the parking ticket,Don't lose your parking ticket.
98,base,petrol ka price phir badh gaya,The price of petrol has changed.,Petrol price increased again
98,topic_fronting,price phir badh gaya petrol ka,Price went up again for the petrol,Petrol price increased again
98,emphasis_shift,badh gaya petrol ka price phir,changed the price of petrol again,Petrol price increased again
99,base,bike ka tyre flat ho gaya,The bike has a flat tyre.,bike tire went flat
99,topic_fronting,tyre flat ho gaya bike ka,Flat tyre on the bike,bike tire went flat
99,emphasis_shift,flat ho gaya bike ka tyre,Flat tire on the bike,bike tire went flat
100,base,rickshaw ka turn galat lag raha,the turn of rickshaw is wrong,stalk
100,topic_fronting,turn galat lag raha rickshaw ka,Turn out to be a rickshaw.,stalk
100,emphasis_shift,lag raha rickshaw ka turn galat,sounds like rickshaw turned wrong,stalk
101,base,train ka AC coach available hai kya,Is the AC coach on the train available?,Is a train coach available?
101,topic_fronting,AC coach available hai kya train ka,Is there an AC coach available on the train?,Is a train coach available?
101,emphasis_shift,available hai kya train ka AC coach,Is the AC coach available on the train?,Is a train coach available?
102,base,bus ka last stop kaha aata hai,where is the last stop of the bus,Where is the last stop of the bus?
102,topic_fronting,last stop kaha aata hai bus ka,Where is the last stop?,Where is the last stop of the bus?
102,emphasis_shift,kaha aata hai bus ka last stop,where is the last stop of the bus,Where is the last stop of the bus?
103,base,flight ka gate number announce hua,Flight gate number announced,flight in gate number announce.
103,topic_fronting,gate number announce hua flight ka,announce gate number of flight,flight in gate number announce.
103,emphasis_shift,announce hua flight ka gate number,Gate number of announced flight,flight in gate number announce.
104,base,cab ka pickup location change ho gaya,The pickup location for the cab has changed,Cab's pichkoop location changed
104,topic_fronting,pickup location change ho gaya cab ka,Pickup location change to cab,Cab's pichkoop location changed
104,emphasis_shift,change ho gaya cab ka pickup location,change the pickup location of the cab,Cab's pichkoop location changed
105,base,platform ka lift kaam nahi kar raha,The lift on the platform is not working.,platform lift not working
105,topic_fronting,lift kaam nahi kar raha platform ka,The lift is not working on the platform,platform lift not working
105,emphasis_shift,kaam nahi kar raha platform ka lift,not working platform lift,platform lift not working
106,base,restaurant ka waiting time zyada hai,The waiting time at the restaurant is longer,Restaurant waiting time is long
106,topic_fronting,waiting time zyada hai restaurant ka,Waiting time is more in restaurant,Restaurant waiting time is long
106,emphasis_shift,zyada hai restaurant ka waiting time,more is the waiting time at the restaurant,Restaurant waiting time is long
107,base,starter ka portion thoda chhota hai,The starter portion is a little bit smaller,The starter portion is a bit small
107,topic_fronting,portion thoda chhota hai starter ka,The portion is a little bit smaller than the starter.,The starter portion is a bit small
107,emphasis_shift,thoda chhota hai starter ka portion,a little bit of the starter portion,The starter portion is a bit small
108,base,menu ka digital version available hai,digital version of menu is available,Digital version of menu available
108,topic_fronting,digital version available hai menu ka,digital version available on menu,Digital version of menu available
108,emphasis_shift,available hai menu ka digital version,available digital version of menu,Digital version of menu available
109,base,dessert ka sugar level kam rakho,Keep the sugar level low for the dessert.,Keep the sugar level of dessert low
109,topic_fronting,sugar level kam rakho dessert ka,Keep the sugar level low on the dessert.,Keep the sugar level of dessert low
109,emphasis_shift,kam rakho dessert ka sugar level,keep sugar level of dessert low,Keep the sugar level of dessert low
110,base,online order ka packing loose tha,The packing was loose online order,online order ka packing loose tha
110,topic_fronting,packing loose tha online order ka,packing loose was the online order,online order ka packing loose tha
110,emphasis_shift,loose tha online order ka packing,Loose the packing of online order,online order ka packing loose tha
