triplet_id,variant_type,input_hinglish,llama_translation,reference_en
16,emphasis_shift,chahiye cold coffee thodi kam sweet,I would like a cold coffee that's a bit less sweet.,Cold coffee should be a little less sweet
17,base,burger ke andar cheese extra daalna,They want extra cheese inside the burger.,putting extra cheese inside the burger
17,topic_fronting,cheese extra daalna burger ke andar,Add extra cheese to the burger.,putting extra cheese inside the burger
17,emphasis_shift,daalna cheese extra burger ke andar,Adding extra cheese inside the burger.,putting extra cheese inside the burger
18,base,pani ka bottle cold hai kya,Is the water bottle cold?,Is the water bottle cold?
18,topic_fronting,bottle cold hai kya pani ka,Is the water in the bottle cold?,Is the water bottle cold?
18,emphasis_shift,cold hai pani ka bottle kya,What's the temperature of the water bottle?,Is the water bottle cold?
19,base,dosa ka chutney thoda aur milega,The chutney for the dosa will be a bit more.,You will get a little more chutney for dosa.
19,topic_fronting,chutney thoda aur milega dosa ka,The chutney will be a bit more with the dosa.,You will get a little more chutney for dosa.
19,emphasis_shift,milega dosa ka chutney thoda aur,Will you get some chutney with the dosa?,You will get a little more chutney for dosa.
20,base,coffee ka order ready ho gaya,Your coffee order is ready.,Coffee order is ready
20,topic_fronting,order ready ho gaya coffee ka,Your coffee order is ready.,Coffee order is ready
20,emphasis_shift,ready ho gaya coffee ka order,The coffee order is ready.,Coffee order is ready
21,base,shirt ka size medium available hai,The shirt's size is medium available.,shirt ka size medium available hai
21,topic_fronting,size medium available hai shirt ka,The medium size shirt is available.,shirt ka size medium available hai
21,emphasis_shift,available hai shirt ka size medium,The shirt is available in a medium size.,shirt ka size medium available hai
22,base,jeans ka rate thoda kam karo,Reduce the price of jeans a bit.,reduce the price of jeans a little
22,topic_fronting,rate thoda kam karo jeans ka,Can you please lower the price of the jeans a bit?,reduce the price of jeans a little
22,emphasis_shift,kam karo jeans ka rate thoda,Can you please lower the price of jeans a bit.,reduce the price of jeans a little
23,base,shoes ka color black chahiye,The color of the shoes should be black.,The color of shoes should be black
23,topic_fronting,color black chahiye shoes ka,I would like the shoes to be black in color.,The color of shoes should be black
23,emphasis_shift,chahiye shoes ka color black,I need shoes in black color.,The color of shoes should be black
24,base,bag me laptop fit ho jayega kya,Will a laptop fit in my bag?,Will the laptop fit in the bag?
24,topic_fronting,laptop fit ho jayega kya bag me,Will the laptop fit in the bag?,Will the laptop fit in the bag?
24,emphasis_shift,fit ho jayega bag me laptop kya,Will it fit in the bag with the laptop?,Will the laptop fit in the bag?
25,base,discount coupon apply kar diya kya,Did they apply the discount coupon?,Have you applied the discount coupon?
25,topic_fronting,coupon apply kar diya kya discount,Did you apply the coupon to get a discount?,Have you applied the discount coupon?
25,emphasis_shift,apply kar diya discount coupon kya,Did you apply the discount coupon?,Have you applied the discount coupon?
26,base,product ki quality check karni hai,The product quality needs to be checked.,Have to check the quality of the product
26,topic_fronting,quality check karni hai product ki,We need to conduct a quality check on the product.,Have to check the quality of the product
26,emphasis_shift,check karni hai product ki quality,The product's quality needs to be checked.,Have to check the quality of the product
27,base,delivery ka status update aaya kya,Did you get an update on the delivery status?,Has the delivery status been updated?
27,topic_fronting,status update aaya kya delivery ka,What's the status update on the delivery?,Has the delivery status been updated?
27,emphasis_shift,aaya kya delivery ka status update,What is the status of the delivery?,Has the delivery status been updated?
28,base,bill me GST include hai kya,Will the GST be included in the bill?,Is patrol included in the bill?
28,topic_fronting,GST include hai kya bill me,Is GST included in the bill?,Is patrol included in the bill?
28,emphasis_shift,include hai bill me GST kya,Is GST included in the bill?,Is patrol included in the bill?
29,base,packing thodi strong kar dena,Pack it a bit stronger.,make the packing a little stronger
29,topic_fronting,strong kar dena packing thodi,Can you please pack it a bit stronger.,make the packing a little stronger
29,emphasis_shift,kar dena packing thodi strong,Do the packing a bit strongly.,make the packing a little stronger
30,base,price list display nahi hui,The price list was not displayed.,price list display nahi hui
30,topic_fronting,display nahi hui price list,The price list was not displayed.,price list display nahi hui
30,emphasis_shift,nahi hui price list display,The price list is not being displayed.,price list display nahi hui
31,base,meeting ka link send kar do,Please send the meeting link.,send the meeting link
31,topic_fronting,link send kar do meeting ka,Please send the link for the meeting.,send the meeting link
31,emphasis_shift,send kar do meeting ka link,Please send the meeting link.,send the meeting link
32,base,party ka plan final hua kya,Has the party plan been finalized?,Is the party plan finalized?
32,topic_fronting,plan final hua kya party ka,Is the party planning finalized?,Is the party plan finalized?
32,emphasis_shift,final hua party ka plan kya,The final plan for the party is what.,Is the party plan finalized?
33,base,message ka reply kyun nahi diya,The message was not replied.,Why did you not reply to the message?
33,topic_fronting,reply kyun nahi diya message ka,You didn't reply to the message.,Why did you not reply to the message?
33,emphasis_shift,kyun nahi diya message ka reply,Why didn't you send a reply to the message.,Why did you not reply to the message?
34,base,call ka network issue ho raha,There's a network issue with the call.,There is a call network issue
34,topic_fronting,network issue ho raha call ka,There's a network issue with the call.,There is a call network issue
34,emphasis_shift,ho raha call ka network issue,There's a problem with the call network.,There is a call network issue
35,base,photo ka background change kar dena,Change the background of the photo.,background change.
35,topic_fronting,background change kar dena photo ka,Change the background of the photo.,background change.
35,emphasis_shift,change kar dena photo ka background,Change the background of the photo.,background change.
36,base,plan ka update batao jaldi,Please update me about the plan soon.,Please update your plan soon
36,topic_fronting,update batao jaldi plan ka,Please update me quickly about the plan.,Please update your plan soon
36,emphasis_shift,batao plan ka update jaldi,Please provide the latest update on the plan.,Please update your plan soon
37,base,time ka reminder lagana padega,We will have to set a reminder.,You will have to set a time reminder
37,topic_fronting,reminder lagana padega time ka,We will have to keep a reminder of the time.,You will have to set a time reminder
37,emphasis_shift,lagana padega time ka reminder,It will be necessary to set a time reminder.,You will have to set a time reminder
38,base,friends ka group active nahi hai,The friends' group is not active.,Friends group is not active
38,topic_fronting,group active nahi hai friends ka,The group is not active among friends.,Friends group is not active
38,emphasis_shift,active nahi hai friends ka group,The friends' group is not active.,Friends group is not active
39,base,birthday ka gift decide nahi hua,The birthday gift has not been decided.,Birthday gift deed not done
39,topic_fronting,gift decide nahi hua birthday ka,The gift for the birthday has not been decided.,Birthday gift deed not done
39,emphasis_shift,decide nahi hua birthday ka gift,The decision on the birthday gift has not been made.,Birthday gift deed not done
40,base,plan me thoda change karna hoga,I'll need to make some changes.,The plan will have to be changed a bit
40,topic_fronting,change karna hoga plan me thoda,Changes will have to be made in the plan a bit.,The plan will have to be changed a bit
40,emphasis_shift,karna hoga plan me thoda change,There will be some changes in the plan.,The plan will have to be changed a bit
41,base,report ka draft send karna hai,The report's draft needs to be sent.,Draft report to be sent
41,topic_fronting,draft send karna hai report ka,I need to send the draft of the report.,Draft report to be sent
41,emphasis_shift,send karna hai report ka draft,We need to send the draft of the report.,Draft report to be sent
42,base,meeting ka agenda update karo,Update the meeting agenda.,update meeting agenda
42,topic_fronting,agenda update karo meeting ka,Update the agenda for the meeting.,update meeting agenda
42,emphasis_shift,update karo meeting ka agenda,Please update the meeting agenda.,update meeting agenda
43,base,file ka backup rakh lena,Keep a backup of the file.,back up files
43,topic_fronting,backup rakh lena file ka,It is essential to keep a backup of the file.,back up files
43,emphasis_shift,rakh lena file ka backup,To keep a backup of the file.,back up files
44,base,email ka attachment open nahi ho raha,The email attachment is not opening.,Email attachments are not opening
44,topic_fronting,attachment open nahi ho raha email ka,The email attachment is not opening.,Email attachments are not opening
44,emphasis_shift,open nahi ho raha email ka attachment,The email attachment is not opening.,Email attachments are not opening
45,base,task ka status confirm karna,Confirm the status of the task.,Confirming task status
45,topic_fronting,status confirm karna task ka,Confirming the status is a task.,Confirming task status
45,emphasis_shift,confirm karna task ka status,To confirm the status of the task.,Confirming task status
46,base,project ka timeline tight ho gaya,The project timeline has become very tight.,Project timeline became tight
46,topic_fronting,timeline tight ho gaya project ka,The project's timeline has become tight.,Project timeline became tight
46,emphasis_shift,tight ho gaya project ka timeline,The project timeline has become tight.,Project timeline became tight
47,base,laptop ka charger missing hai,The laptop charger is missing.,Laptop charger is missing
47,topic_fronting,charger missing hai laptop ka,The laptop's charger is missing.,Laptop charger is missing
47,emphasis_shift,missing hai laptop ka charger,My laptop charger is missing.,Laptop charger is missing
48,base,code me error aa raha hai,There's an error in the code.,There is an error in the code
48,topic_fronting,error aa raha hai code me,There's an error in the code.,There is an error in the code
48,emphasis_shift,aa raha hai code me error,There is an error in the code.,There is an error in the code
49,base,work ka deadline kal hai,The deadline for work is tomorrow.,work deadline is tomorrow
49,topic_fronting,deadline kal hai work ka,The deadline is tomorrow for the work.,work deadline is tomorrow
49,emphasis_shift,kal hai work ka deadline,Today is the deadline for the work.,work deadline is tomorrow
50,base,meeting ka link wrong tha,The meeting link was incorrect.,meeting ka link wrong tha
50,topic_fronting,link wrong tha meeting ka,The link was wrong for the meeting.,meeting ka link wrong tha
50,emphasis_shift,wrong tha meeting ka link,The meeting link was incorrect.,meeting ka link wrong tha
51,base,homework ka topic explain kar do,Please explain the topic of our homework.,Explain the topic of homework
51,topic_fronting,topic explain kar do homework ka,Please explain the topic and then do the homework.,Explain the topic of homework
51,emphasis_shift,explain kar do homework ka topic,Please explain the topic of the homework.,Explain the topic of homework
52,base,class ka schedule change ho gaya,The class schedule has been changed.,class schedule changed
52,topic_fronting,schedule change ho gaya class ka,The class schedule has been changed.,class schedule changed
52,emphasis_shift,change ho gaya class ka schedule,The class schedule has been changed.,class schedule changed
53,base,exam ka syllabus confirm karna hai,We need to confirm the exam syllabus.,Exam syllabus to be confirmed
53,topic_fronting,syllabus confirm karna hai exam ka,We need to confirm the syllabus for the exam.,Exam syllabus to be confirmed
53,emphasis_shift,confirm karna hai exam ka syllabus,We need to confirm the exam syllabus.,Exam syllabus to be confirmed
54,base,notes ka PDF share kar dena,Please share the notes in PDF format.,share pdf of notes
54,topic_fronting,PDF share kar dena notes ka,Please share the notes in PDF format.,share pdf of notes
54,emphasis_shift,share kar dena notes ka PDF,Please share the notes in PDF format.,share pdf of notes
55,base,lecture ka recording upload hua kya,Has the lecture recording been uploaded.,Has the lecture recording been uploaded?
55,topic_fronting,recording upload hua kya lecture ka,Has the lecture recording been uploaded.,Has the lecture recording been uploaded?
55,emphasis_shift,upload hua lecture ka recording kya,Has the lecture recording been uploaded?,Has the lecture recording been uploaded?
56,base,assignment ka deadline extend hoga,The deadline for the assignment will be extended.,Assignment deadline will be extended
56,topic_fronting,deadline extend hoga assignment ka,The assignment deadline will be extended.,Assignment deadline will be extended
56,emphasis_shift,extend hoga assignment ka deadline,The assignment deadline will be extended.,Assignment deadline will be extended
57,base,project ka topic finalize karte hain,They are finalizing the project topic.,Let's finalize the topic of the project
57,topic_fronting,topic finalize karte hain project ka,They are finalizing the project.,Let's finalize the topic of the project
57,emphasis_shift,finalize karte hain project ka topic,They are finalizing the topic of the project.,Let's finalize the topic of the project
58,base,book ka chapter difficult lag raha,This chapter is proving to be quite difficult.,book ka chapter difficult lag raha
58,topic_fronting,chapter difficult lag raha book ka,This chapter is proving to be difficult in the book.,book ka chapter difficult lag raha
58,emphasis_shift,lag raha book ka chapter difficult,The chapter in the book is proving to be difficult.,book ka chapter difficult lag raha
59,base,attendance ka criteria kya hai,What is the criteria for attendance?,What is the criteria for attendance?
59,topic_fronting,criteria kya hai attendance ka,What are the criteria for attendance?,What is the criteria for attendance?
59,emphasis_shift,kya hai attendance ka criteria,What is the criteria for attendance?,What is the criteria for attendance?
60,base,test ka result kab aayega,The test result will come when.,When will the test results come?
60,topic_fronting,result kab aayega test ka,The result of the test will come soon.,When will the test results come?
60,emphasis_shift,kab aayega test ka result,When will the test results be out.,When will the test results come?
61,base,room ka light off kar do,Please turn off the light in the room.,room ka light off kar do
61,topic_fronting,light off kar do room ka,Turn off the light in the room.,room ka light off kar do
61,emphasis_shift,off kar do room ka light,Turn off the room's light.,room ka light off kar do
62,base,kitchen ka slab clean karna hai,The kitchen floor needs to be cleaned.,clean the clean ka karna.
62,topic_fronting,slab clean karna hai kitchen ka,The kitchen needs to be thoroughly cleaned.,clean the clean ka karna.
62,emphasis_shift,clean karna hai kitchen ka slab,The kitchen slab needs to be cleaned.,clean the clean ka karna.
63,base,fan ka speed increase kar do,Increase the fan's speed.,fan ka speed increase kar do
63,topic_fronting,speed increase kar do fan ka,Please increase the fan's speed.,fan ka speed increase kar do
63,emphasis_shift,increase kar do fan ka speed,Increase the speed of the fan.,fan ka speed increase kar do
64,base,bottle ka water fill kar do,Please fill the bottle with water.,can
64,topic_fronting,water fill kar do bottle ka,Please fill the water bottle.,can
64,emphasis_shift,fill kar do bottle ka water,Fill the bottle with water.,can
65,base,AC ka temperature kam kar do,Please turn down the air conditioner's temperature.,Clacing its culture
65,topic_fronting,temperature kam kar do AC ka,Please reduce the temperature of the AC.,Clacing its culture
65,emphasis_shift,kam kar do AC ka temperature,Please reduce the air conditioner's temperature.,Clacing its culture
66,base,gate ka lock lagana mat bhoolna,Don't forget to lock the gate.,Don't forget to lock the gate
66,topic_fronting,lock lagana mat bhoolna gate ka,Don't forget to lock the gate.,Don't forget to lock the gate
66,emphasis_shift,lagana mat bhoolna gate ka lock,Don't forget to lock the gate.,Don't forget to lock the gate
67,base,table ka cover change kar dena,We need to change the table cover.,change the table cover
67,topic_fronting,cover change kar dena table ka,Change the tablecloth.,change the table cover
67,emphasis_shift,change kar dena table ka cover,Change the table cover.,change the table cover
68,base,clothes ka ironing karna hai,I need to iron the clothes.,Irving of clothes is to be done
68,topic_fronting,ironing karna hai clothes ka,I need to iron the clothes.,Irving of clothes is to be done
68,emphasis_shift,karna hai clothes ka ironing,I need to iron the clothes.,Irving of clothes is to be done
69,base,fridge ka door properly close karo,Close the fridge door properly.,fridge ka door properly close karo
69,topic_fronting,door properly close karo fridge ka,Close the fridge door properly.,fridge ka door properly close karo
69,emphasis_shift,close karo fridge ka door properly,Close the fridge door properly.,fridge ka door properly close karo
70,base,milk ka packet fridge me rakhna,Keep the milk packet in the fridge.,keep milk packet in fridge
70,topic_fronting,packet fridge me rakhna milk ka,Keep the milk packet in the fridge.,keep milk packet in fridge
70,emphasis_shift,rakhna milk ka packet fridge me,Keep the milk packet in the fridge.,keep milk packet in fridge
71,base,phone ka storage full ho gaya,The phone's storage is full.,phone storage full
71,topic_fronting,storage full ho gaya phone ka,My phone's storage is full.,phone storage full
71,emphasis_shift,full ho gaya phone ka storage,The phone's storage is full.,phone storage full
72,base,app ka update install karna hai,The app needs to be updated.,Need to install an app update
72,topic_fronting,update install karna hai app ka,The app needs to be updated and installed.,Need to install an app update
72,emphasis_shift,install karna hai app ka update,The app needs to be updated.,Need to install an app update
73,base,password ka reset option nahi mil raha,The password reset option is not available.,Can't find password reset option
73,topic_fronting,reset option nahi mil raha password ka,The password reset option is not available.,Can't find password reset option
73,emphasis_shift,nahi mil raha password ka reset option,The password reset option is not available.,Can't find password reset option
74,base,WiFi ka signal weak lag raha,The WiFi signal is weak.,Signal is a sign.
74,topic_fronting,signal weak lag raha WiFi ka,The WiFi signal is weak and keeps lagging.,Signal is a sign.
74,emphasis_shift,lag raha WiFi ka signal weak,The WiFi signal is weak.,Signal is a sign.
75,base,phone ka hotspot on kar do,Turn on the phone's hotspot.,phone the hotspot on your phone
75,topic_fronting,hotspot on kar do phone ka,Enable hotspot on phone.,phone the hotspot on your phone
75,emphasis_shift,on kar do phone ka hotspot,Turn on your phone's hotspot.,phone the hotspot on your phone
76,base,laptop ka update pending hai,The laptop's update is pending.,Laptop update is pending
76,topic_fronting,update pending hai laptop ka,The laptop's update is pending.,Laptop update is pending
76,emphasis_shift,pending hai laptop ka update,The laptop's update is pending.,Laptop update is pending
77,base,screen ka brightness kam kar do,Reduce the screen brightness.,screen
77,topic_fronting,brightness kam kar do screen ka,Reduce the screen brightness.,screen
77,emphasis_shift,kam kar do screen ka brightness,Reduce the screen brightness.,screen
78,base,mic ka input detect nahi ho raha,The microphone's input is not being detected.,Mitch's input not being detected
78,topic_fronting,input detect nahi ho raha mic ka,The microphone is not being detected.,Mitch's input not being detected
78,emphasis_shift,detect nahi ho raha mic ka input,The microphone is not picking up any input.,Mitch's input not being detected
79,base,speaker ka volume low hai,The speaker's volume is low.,Speaker is speaker
79,topic_fronting,volume low hai speaker ka,The volume of the speaker is low.,Speaker is speaker
79,emphasis_shift,low hai speaker ka volume,The speaker's volume is low.,Speaker is speaker
80,base,battery ka percentage kam ho raha,The battery's percentage is decreasing.,Battery percentage is decreasing
80,topic_fronting,percentage kam ho raha battery ka,The battery's percentage is decreasing.,Battery percentage is decreasing
80,emphasis_shift,kam ho raha battery ka percentage,The battery's percentage is decreasing.,Battery percentage is decreasing
81,base,medicine ka dose kab lena hai,What is the medicine's dosage schedule?,When to take medicine doses
81,topic_fronting,dose kab lena hai medicine ka,We need to take the medicine soon.,When to take medicine doses
81,emphasis_shift,kab lena hai medicine ka dose,I need to take the medicine's dosage.,When to take medicine doses
82,base,doctor ka appointment confirm hua,The doctor's appointment has been confirmed.,doctor ka appointment confirm hua
82,topic_fronting,appointment confirm hua doctor ka,The doctor's appointment has been confirmed.,doctor ka appointment confirm hua
82,emphasis_shift,confirm hua doctor ka appointment,The doctor's appointment has been confirmed.,doctor ka appointment confirm hua
83,base,fever ka temperature check karo,Check the temperature to see if you have a fever.,"You have a fever, check your temperature"
83,topic_fronting,temperature check karo fever ka,Please take a temperature check for fever.,"You have a fever, check your temperature"
83,emphasis_shift,check karo fever ka temperature,Check the temperature of the fever.,"You have a fever, check your temperature"
84,base,syrup ka spoon measure karna,To measure the syrup with a spoon.,spoon masher syrup
84,topic_fronting,spoon measure karna syrup ka,To measure the syrup with a spoon.,spoon masher syrup
84,emphasis_shift,measure karna syrup ka spoon,To measure the syrup with a spoon.,spoon masher syrup
85,base,prescription ka photo send kar do,Please send me a copy of the prescription.,send photo of prescription
85,topic_fronting,photo send kar do prescription ka,Please send me the prescription photo.,send photo of prescription
85,emphasis_shift,send kar do prescription ka photo,Please send the photo of the prescription.,send photo of prescription
86,base,pain ka reason samajh nahi aa raha,I am unable to understand the reason for the pain.,I don't understand the reason for the question.
86,topic_fronting,reason samajh nahi aa raha pain ka,I don't understand the reason behind this pain.,I don't understand the reason for the question.
86,emphasis_shift,samajh nahi aa raha pain ka reason,I'm not understanding the reason behind this pain.,I don't understand the reason for the question.
87,base,BP ka reading high aa gaya,My blood pressure reading is high now.,blood pressure reading is high
87,topic_fronting,reading high aa gaya BP ka,My blood pressure has gone too high.,blood pressure reading is high
87,emphasis_shift,high aa gaya BP ka reading,My blood pressure has gone high.,blood pressure reading is high
88,base,tablet ka effect slow hai,The effect of the tablet is slow.,tablet ka effect slow hai
88,topic_fronting,effect slow hai tablet ka,The effect of the tablet is slow.,tablet ka effect slow hai
88,emphasis_shift,slow hai tablet ka effect,The effect of the tablet is slow.,tablet ka effect slow hai
89,base,sugar ka test fasting me hota hai,The blood sugar test is done while fasting.,Sugar is tested while fasting
89,topic_fronting,test fasting me hota hai sugar ka,Fasting causes a rise in sugar levels.,Sugar is tested while fasting
89,emphasis_shift,fasting me hota hai sugar ka test,Fasting makes a difference in the sugar test.,Sugar is tested while fasting
90,base,doctor ka clinic kis time open hota,The doctor's clinic is open at what time.,What time is the doctor's clinic open?
90,topic_fronting,clinic kis time open hota doctor ka,"The clinic is open at what time, doctor?",What time is the doctor's clinic open?
90,emphasis_shift,kis time open hota doctor ka clinic,What time does the doctor's clinic open?,What time is the doctor's clinic open?
91,base,bus stop ka route map dikhana,Show the bus stop route map.,show bus stop route map
91,topic_fronting,route map dikhana bus stop ka,Show the bus stop route map.,show bus stop route map
91,emphasis_shift,dikhana bus stop ka route map,Show the bus stop route map.,show bus stop route map
92,base,cab ka OTP enter kar do,Please enter the OTP for the cab.,enter cab number
92,topic_fronting,OTP enter kar do cab ka,Please enter the OTP for the cab.,enter cab number
92,emphasis_shift,enter kar do cab ka OTP,Please enter the cab's OTP.,enter cab number
93,base,road ka traffic heavy lag raha,The traffic on the road is getting very heavy.,road ka traffic heavy lag raha
93,topic_fronting,traffic heavy lag raha road ka,The traffic is moving very slowly on the road.,road ka traffic heavy lag raha
93,emphasis_shift,lag raha road ka traffic heavy,The traffic on the road is very heavy.,road ka traffic heavy lag raha
94,base,signal ka light green ho gaya,The traffic signal turned green.,signal light turns green
94,topic_fronting,light green ho gaya signal ka,The traffic signal has turned green.,signal light turns green
94,emphasis_shift,ho gaya signal ka light green,The traffic light has turned green.,signal light turns green
95,base,metro ka gate kis side hoga,The entrance of the metro will be on which side.,Which side will the metro gate be on?
95,topic_fronting,gate kis side hoga metro ka,The entrance of the metro will be on which side.,Which side will the metro gate be on?
95,emphasis_shift,kis side hoga metro ka gate,Which side will the metro gate be.,Which side will the metro gate be on?
96,base,cab ka driver close aa raha,The taxi driver is approaching.,cab driver coming close
96,topic_fronting,driver close aa raha cab ka,The taxi driver is approaching.,cab driver coming close
96,emphasis_shift,aa raha cab ka driver close,The cab driver is closing.,cab driver coming close
97,base,parking ka ticket lose mat karna,Don't lose the parking ticket.,Don't lose your parking ticket.
97,topic_fronting,ticket lose mat karna parking ka,Losing a ticket is a problem with parking.,Don't lose your parking ticket.
97,emphasis_shift,lose mat karna parking ka ticket,Losing my parking ticket.,Don't lose your parking ticket.
98,base,petrol ka price phir badh gaya,The price of petrol increased again.,Petrol price increased again
98,topic_fronting,price phir badh gaya petrol ka,The price of petrol increased again.,Petrol price increased again
98,emphasis_shift,badh gaya petrol ka price phir,The petrol price has gone up again.,Petrol price increased again
99,base,bike ka tyre flat ho gaya,The bike's tire has gone flat.,bike tire went flat
99,topic_fronting,tyre flat ho gaya bike ka,The bike's tyre has gone flat.,bike tire went flat
99,emphasis_shift,flat ho gaya bike ka tyre,The bike's tyre got punctured.,bike tire went flat
100,base,rickshaw ka turn galat lag raha,The rickshaw is taking a wrong turn.,stalk
100,topic_fronting,turn galat lag raha rickshaw ka,The rickshaw is going in the wrong direction.,stalk
100,emphasis_shift,lag raha rickshaw ka turn galat,The rickshaw's turn is not right.,stalk
101,base,train ka AC coach available hai kya,Is the air-conditioned coach available in the train?,Is a train coach available?
101,topic_fronting,AC coach available hai kya train ka,Are air-conditioned coaches available in the train?,Is a train coach available?
101,emphasis_shift,available hai kya train ka AC coach,Is there an available AC coach in the train?,Is a train coach available?
102,base,bus ka last stop kaha aata hai,The last stop of the bus is known.,Where is the last stop of the bus?
102,topic_fronting,last stop kaha aata hai bus ka,The last stop is where the bus is.,Where is the last stop of the bus?
102,emphasis_shift,kaha aata hai bus ka last stop,Where is the last stop of the bus.,Where is the last stop of the bus?
103,base,flight ka gate number announce hua,The flight's gate number has been announced.,flight in gate number announce.
103,topic_fronting,gate number announce hua flight ka,The flight number has been announced at the gate.,flight in gate number announce.
103,emphasis_shift,announce hua flight ka gate number,The flight's gate number has been announced.,flight in gate number announce.
104,base,cab ka pickup location change ho gaya,The cab's pickup location has been changed.,Cab's pichkoop location changed
104,topic_fronting,pickup location change ho gaya cab ka,The pickup location has been changed for the cab.,Cab's pichkoop location changed
104,emphasis_shift,change ho gaya cab ka pickup location,The pickup location of the cab has been changed.,Cab's pichkoop location changed
105,base,platform ka lift kaam nahi kar raha,The lift on the platform is not working.,platform lift not working
105,topic_fronting,lift kaam nahi kar raha platform ka,The elevator is not working on this floor.,platform lift not working
105,emphasis_shift,kaam nahi kar raha platform ka lift,The elevator on the platform is not working.,platform lift not working
106,base,restaurant ka waiting time zyada hai,The waiting time at the restaurant is too long.,Restaurant waiting time is long
